Package                           Version                Build                  Size       Kind   Source
isoduration                       20.11.0                pyhd8ed1ab_1           19.4 KiB   conda  https://conda.anaconda.org/conda-forge/
isort                             8.0.1                  pyhd8ed1ab_0           70.5 KiB   conda  https://conda.anaconda.org/conda-forge/
jaraco.classes                    3.4.0                  pyhcf101f3_3           14.5 KiB   conda  https://conda.anaconda.org/conda-forge/
jaraco.context                    6.1.2                  pyhcf101f3_0           15.8 KiB   conda  https://conda.anaconda.org/conda-forge/
jaraco.functools                  4.4.0                  pyhcf101f3_1           18.3 KiB   conda  https://conda.anaconda.org/conda-forge/
jedi                              0.19.2                 pyhd8ed1ab_1           823.9 KiB  conda  https://conda.anaconda.org/conda-forge/
jinja2                            3.1.6                  pyhcf101f3_1           117.9 KiB  conda  https://conda.anaconda.org/conda-forge/
joblib                            1.5.3                  pyhd8ed1ab_0           221.1 KiB  conda  https://conda.anaconda.org/conda-forge/
jsbeautifier                      1.15.4                                        520.2 KiB  pypi   jsbeautifier-1.15.4-py3-none-any.whl
json5                             0.14.0                 pyhd8ed1ab_0           33.9 KiB   conda  https://conda.anaconda.org/conda-forge/
jsonpointer                       3.1.1                  pyhcf101f3_0           13.9 KiB   conda  https://conda.anaconda.org/conda-forge/
jsonschema                        4.26.0                 pyhcf101f3_0           80.4 KiB   conda  https://conda.anaconda.org/conda-forge/
jsonschema-specifications         2025.9.1               pyhcf101f3_0           18.8 KiB   conda  https://conda.anaconda.org/conda-forge/
jsonschema-with-format-nongpl     4.26.0                 hcf101f3_0             4.6 KiB    conda  https://conda.anaconda.org/conda-forge/
jupyter                           1.1.1                  pyhd8ed1ab_1           8.7 KiB    conda  https://conda.anaconda.org/conda-forge/
jupyter-lsp                       2.3.1                  pyhcf101f3_0           60.2 KiB   conda  https://conda.anaconda.org/conda-forge/
jupyter_client                    8.8.0                  pyhcf101f3_0           110.1 KiB  conda  https://conda.anaconda.org/conda-forge/
jupyter_console                   6.6.3                  pyhd8ed1ab_1           26.2 KiB   conda  https://conda.anaconda.org/conda-forge/
jupyter_core                      5.9.1                  pyh6dadd2b_0           63.2 KiB   conda  https://conda.anaconda.org/conda-forge/
jupyter_events                    0.12.1                 pyhcf101f3_0           23.4 KiB   conda  https://conda.anaconda.org/conda-forge/
